Project ID,Class,Requirement
447,NFR," 'The application is available for the users all the time, provided mobile is in working sate and the internet connection is available.'"
447,NFR, 'The application is accurate enough in counting the objects even in challenging lighting when the objects are partially obscured.'
447,NFR," 'Backup is enabled for the application ,If a user upgrades to a new Android-powered device, application restores the user??s previous data when the application is logged in.'"
447,NFR," 'The application is able to count objects quickly and a good accuracy, without any lags or delays.'"
447,NFR," 'The application is reliable and able to count objects consistently, without crashes.'"
447,NFR," 'The user's data is safeguarded by the program, which is secure.'"
447,NFR, 'The program can handle a huge number of images and objects and is scalable.'
447,NFR, 'The application is compatible with different types of smartphones and operating systems.'
447,NFR," 'The application is easy to use, with a simple and intuitive interface that requires minimal training.'"
447,NFR, 'The application has a simple and intuitive interface that allows the users to easily capture and upload images as well as submitting images for counting objects.'
447,NFR," 'By adhering to accessibility guidelines, the program is usable by all users, including those with impairments.'"
447,NFR," 'The scans are performed accurately and quickly under various conditions, including different lighting conditions and object sizes.'"
447,NFR," 'The application does not drain the battery of the user's phone excessively, ensuring that it can be used for longer periods without the need for frequent charging.'"
448,NFR, 'Application must be responsive' 
448,NFR, 'If invalid attempt is made the user must be prompted to re-login. '
448,NFR," 'If 3 invalid attempts are made, then block the user'"
448,NFR," 'If user is not registered, then Admin must register user. '"
448,NFR,  'If 3 invalid attempts are made block user.'
448,NFR, 'User must be Registered.'
448,NFR,  'Database must be available'
448,NFR, 'Simplicity over enhanced and lucrative user interface to improve system response.'
448,NFR," 'Usability over security, as only username password will be used to authenticate the user.'"
448,NFR, 'Time duration to detect anomaly is directly proportional to length of the video. '
449,NFR,   'Direct options are provided so that the user can easily perform the required operations like adding a descriptive diary'
449,NFR,"  'The interactive interface of the application has been designed in a smart way that is helpful,easy in using and does not present the user with complex paths to follow'"
449,NFR,  'The system will be a reliable piece of software by minimizing the coding errors that result in system crashes and runtime errors to providing the user with a full safe application. '
449,NFR,   'The system ensures the exactness of the key words to accurately identify the current emotion of the user. '
449,NFR,  'Technically this project is feasible as it provides desired features through all its components and processing their data.'
449,NFR, 'All the included libraries and functions are supported by android and firebase'
450,NFR,'Laser fencing is very accurate and can identify even the smallest border crossings. '
450,NFR,'Laser fencing is a low maintenance option for border protection'
450,NFR,'The accuracy of object detection is an important factor in determining the efficiency of a laser fencing system'
450,NFR,'The response time of the system is another important factor in determining its efficiency'
450,NFR,"'The cost-effectiveness of the system is an important consideration, as it determines the feasibility of deploying the system on a larger scale.'"
450,NFR," 'laser fence systems may be designed to be more mobile, allowing for rapid deployment and repositioning as needed.'"
451,NFR,'This application designed will be accessible around-the-clock.'
451,NFR, 'The user may quickly perform on-device detection without the requirement for an online connection.'
451,NFR,"'My model has an accuracy of 85% on test data and between 80 and 85% on validation data, making it quite dependable to predict the outcome.'"
451,NFR,'It is the main issue we are thinking about. We'll protect our users' valuables and provide security for them.'
452,NFR,'Our Systems should take seconds to run query and give answer.'
452,NFR,'System can be used from all devices.'
452,NFR,'Systems should display commands into 4-5 seconds to process natural commands.'
452,NFR,'System shall provide access to user with all features of system safely.'
452,NFR,'System shall secure data of user which they register to login and logout.'
452,NFR,'System shall provide remote access to the user.'
