Project ID,Class,Requirement
447,Availability," 'The application is available for the users all the time, provided mobile is in working sate and the internet connection is available.'"
447,Accuracy, 'The application is accurate enough in counting the objects even in challenging lighting when the objects are partially obscured.'
447,Backup," 'Backup is enabled for the application ,If a user upgrades to a new Android-powered device, application restores the userÉ??s previous data when the application is logged in.'"
447,Performance," 'The application is able to count objects quickly and a good accuracy, without any lags or delays.'"
447,Reliability," 'The application is reliable and able to count objects consistently, without crashes.'"
447,Security," 'The user's data is safeguarded by the program, which is secure.'"
447,Scalability, 'The program can handle a huge number of images and objects and is scalable.'
447,Feasibility, 'The application is compatible with different types of smartphones and operating systems.'
447,Usability," 'The application is easy to use, with a simple and intuitive interface that requires minimal training.'"
447,User-Friendly, 'The application has a simple and intuitive interface that allows the users to easily capture and upload images as well as submitting images for counting objects.'
447,Accessibility," 'By adhering to accessibility guidelines, the program is usable by all users, including those with impairments.'"
447,Performance," 'The scans are performed accurately and quickly under various conditions, including different lighting conditions and object sizes.'"
447,Reliability," 'The application does not drain the battery of the user's phone excessively, ensuring that it can be used for longer periods without the need for frequent charging.'"
448,Performance, 'Application must be responsive' 
448,Authentication, 'If invalid attempt is made the user must be prompted to re-login. '
448,Authentication," 'If 3 invalid attempts are made, then block the user'"
448,Authentication," 'If user is not registered, then Admin must register user. '"
448,Security,  'If 3 invalid attempts are made block user.'
448,Security, 'User must be Registered.'
448,Availability,  'Database must be available'
448,User-Friendly, 'Simplicity over enhanced and lucrative user interface to improve system response.'
448,Usability," 'Usability over security, as only username password will be used to authenticate the user.'"
448,Performance, 'Time duration to detect anomaly is directly proportional to length of the video. '
449,User-Friendly,   'Direct options are provided so that the user can easily perform the required operations like adding a descriptive diary'
449,User-Friendly,"  'The interactive interface of the application has been designed in a smart way that is helpful,easy in using and does not present the user with complex paths to follow'"
449,Reliability,  'The system will be a reliable piece of software by minimizing the coding errors that result in system crashes and runtime errors to providing the user with a full safe application. '
449,Accuracy,   'The system ensures the exactness of the key words to accurately identify the current emotion of the user. '
449,Feasibility,  'Technically this project is feasible as it provides desired features through all its components and processing their data.'
449,Feasibility, 'All the included libraries and functions are supported by android and firebase'
450,Accuracy,'Laser fencing is very accurate and can identify even the smallest border crossings. '
450,Maintainability,'Laser fencing is a low maintenance option for border protection'
450,Accuracy,'The accuracy of object detection is an important factor in determining the efficiency of a laser fencing system'
450,Performance,'The response time of the system is another important factor in determining its efficiency'
450,Feasibility,"'The cost-effectiveness of the system is an important consideration, as it determines the feasibility of deploying the system on a larger scale.'"
450,Scalability," 'laser fence systems may be designed to be more mobile, allowing for rapid deployment and repositioning as needed.'"
451,Availability,'This application designed will be accessible around-the-clock.'
451,Performance, 'The user may quickly perform on-device detection without the requirement for an online connection.'
451,Reliability,"'My model has an accuracy of 85% on test data and between 80 and 85% on validation data, making it quite dependable to predict the outcome.'"
451,Security,'It is the main issue we are thinking about. We'll protect our users' valuables and provide security for them.'
452,Performance,'Our Systems should take seconds to run query and give answer.'
452,Feasibility,'System can be used from all devices.'
452,Performance,'Systems should display commands into 4-5 seconds to process natural commands.'
452,Security,'System shall provide access to user with all features of system safely.'
452,Security,'System shall secure data of user which they register to login and logout.'
452,Usability,'System shall provide remote access to the user.'
452,Availability,'System shall be available online 24/7 remote access.'
452,Performance,'System shall convert English language phrases to commands fastly.'
452,Reliability,'System must be reliable for more than 2 years.'
453,Usability,'The camera give the video streaming to VR headset basedmobilephone'
453,Performance,'The module which is based on NRF24L01 has a data latency issue which communication create a delay between transmitter andreceiver signals.'
453,User-Friendly,"'The results of 2MP camera is very goodandtheone main feature that we have seen in this camera is that it work on Wi-Fi direct, without internet connection.'"
453,Reliability, 'The robot successfully finalized with proper functionality.'
454,Accuracy,'The accuracy in cases of deletion is greater than 90%. '
454,Accuracy,"'The quantity of words that users alter affects the product's accuracy when it comes to word addition and update, though.'"
454,Performance,'We assess the performance depending on the various environments when measuring the performance. '
454,Performance,'It takes 40-45 seconds to completely execute the task of deep voice generation'
454,Flexibility,'The largest flexibility of this app is that the speech will be delivered in real-time using a real person's voice.'
455,Accuracy, 'The pet Shop Management System provides the uses a quick response with very accurate information regarding the users etc.'
455,User-Friendly,'The software pet Shop Management System has a very user-friendly interface'
455,User-Friendly,'s the users will feel it is very easy to work on it.'
455,Availability,'The transaction reports of the system can be retried as and when required.'
455,Availability,"'There is no delay in the availability of any information, whatever is needed can be captured very quickly and easily.'"
455,Maintainability, 'Reduce the cost of maintenance.'
455,Security,'The system provides physical security of data and provision for detection of fraud and abuse.'
456,User-Friendly,"'The goal of user interface design is to make it easy, efficient, and enjoyable for the users while working with the application.'"
456,Accuracy,'Deep leaning is a machine learning approach and it depends on neural networks that produce a very good accuracy.'
457,Accuracy,'The application was able to accurately recognize and translate a variety of sign language gestures .'
457,Performance,'The performance of the application was further improved by using a Convolutional Neural Network (CNN) to extract features from the sign language videos.'
457,Usability,'The system consider  usability and accessibility of sign language conversion applications for PSL to ensure inclusivity'
457,User-Friendly ,"'The system provide User-friendly interfaces, intuitive interactions, and accessibility features, such as support for different input modes and output formats'"
458,User-Friendly,'It is user friendly application. '
458,Accuracy,"'The manual identification is not so fast, more accurate and efficient for user ,to overcome those problem this application is design.'"
458,Security,"'The system provide a searchable encryption scheme with well-established and trusted underlying algorithms and primitives that will make our solution lightweight, highly efficient, more secure.'"
458,Accuracy,'Our solution will be a practical solution to provide an application with accurate detection of Brain Tumors in MRI images'
459,Accuracy,'The app was found to be accurate in its code generation with minimal errors.'
459,Accuracy,'The app has shown an accuracy rate of 95% which is satisfactory for most users'
459,Performance,'The app has been designed to be efficient in terms of speed and memory usage.'
459,Performance,'The app has been tested on various flowchart sizes and has shown a fast processing speed with minimal memory usage'
459,Performance,'The app can generate code for complex flowcharts within seconds.'
459,User-Friendly,'The app has been designed to be user-friendly and easy to use'
459,Usability,'The app is suitable for both novice and experienced programmers'
460,Accuracy,'The final product should be accurate in processing the uploaded video.'
460,Performance,'Video processing should be completed within 60 seconds after successful upload.'
460,Performance,'Results should be generated in under two minutes to keep the user engaged.'
460,Safety,'There are no expected risks associated with running the SoS system or modifying the source code of the project.'
460,Security,'Https connection is used to ensure secure communication between application and server.'
460,Maintainability,'The software application should be updated once a month to ensure smooth functioning and to remove bugs as reported by the users.'
460,Adaptability,'The application should adapt to the hardware settings of the system.'
460,Portability,"'The application should have the same interface and functionality on different platforms including windows, MacOS, android, and Linux.'"
460,Authorization,'The following permissions need to be granted in order to access all the features of the application ie Access to Camera and Receive data from the internet.'
460,Feasibility,' SoS will have supportive help documentation ready.'
461,Reliability,'The application will run if the system has reliable internet connection.'
461,Feasibility,'The application can run on both computers and mobile phones.'
461,Performance,'The results are generated within minutes and do not take a lot of time thus making response time appropriate and quick for the users. '
