Sno.,Requirements,Multi_Class,NewClass
1,system shall enable encryption and decryption capability to protect file,Confidentiality,SR
2,system shall prevent manipulation of watermark by an unauthorised user,Authorization,SR
3,system shall be fast in intrusion response to help in stopping intensity of damage or mitigation of risk,Immunity,SR
4,ensure integrity of system from accidental or malicious damage,Confidentiality,SR
5,system should ensure that there is maximum confidentiality and safety assurance on information,Confidentiality,SR
6,system shall allow for error recovery,Survivability,SR
7,digital watermark system is compatible to all operating system,Portability,SR
8,product shall information security product shall enable privacy by encryption wssecurity and integrity checking,Confidentiality,SR
9,digital watermark system is compatible with all operating system,Portability,SR
10,system shall prevent malicious attack including denial of service,Confidentiality,SR
11,system should allow for error recovery,Survivability,SR
12,system should be reliable in detecting known cryptojacking malware activity,IntrusionD,SR
13,system shall permit user credential registration,Functionality,SR
14,application ensures that only authorized user can access sensitive data and feature protecting user privacy and maintaining integrity of application,Confidentiality,SR
15,system shall be able to warn network administrator about possible occurrence of an intrusion attack and provide information regarding that attack,IntrusionD,SR
16,system shall provide maturity fault tolerance and recoverability,Survivability,SR
17,system shall enforce security through use of password protected user account,Authentication,SR
18,system will permit user credential registration,Functionality,SR
19,system shall offer secured web application sql and x scripting vulnerability scanner,Immunity,SR
20,system shall protect private information in accordance with organization information policy,Confidentiality,SR
21,system shall allow verification and validation of document,Functionality,SR
22,system should be able to warn network officer about possible occurrence of an intrusion attack and provides information regarding that attack,Performance,SR
23,system shall allow room for error recovery,Survivability,SR
24,system shall resist unauthorised accidental or unintended usage and provide access only to legitimate user,Authorization,SR
25,system shall provide maturity fault tolerance and recoverability in face of fault,Survivability,SR
26,all customer information will be stored on secure database accessible only to authorized personnel,Confidentiality,SR
27,system shall authenticate user credential to view profile,Functionality,SR
28,streaming server will have antivirus software to prevent infection of malicious virus,Confidentiality,SR
29,system should allow for quick error recovery,Survivability,SR
30,system should allow for quick error recovery,Survivability,SR
31,system shall be available to secure file from unauthorised user,Availability,SR
32,usability over security only username password will be used to authenticate user,Usability,SR
33,system shall provide user with option to encrypt and decrypt data,Confidentiality,SR
34,system shall be able to authenticate username and password,Authentication,SR
35,system shall authenticate user with username and password,Authentication,SR
36,system ensure secure storage of user pattern so to protect against compromise attacker,Confidentiality,SR
37,system shall have encrypt and decrypt module in place to attain better and improved security for containing privacy invasion in overall,Confidentiality,SR
38,system use ssl secured socket layer in all transaction that include any confidential customer information,Confidentiality,SR
39,proposed solution must be capable of ensuring security and privacy of confidential data,Confidentiality,SR
40,system shall allow fingerprint verification of licence owner,Functionality,SR
41,system shall allow file to be accessible only to authorised personnel,Authorization,SR
42,system should be able to secure message by encrypting them,Confidentiality,SR
43,system should ensure only authorized user is able to change registered email address for receiving cryptojacking alert,Authorization,SR
44,system shall ensure that each private key ha to be encrypted with password to keep it secure,Confidentiality,SR
45,system shall provide secure student authentication and authorisation by using security saml token containing assertion about subject for communication between trusted party,Authentication,SR
46,system shall not be vulnerable to security attack,Immunity,SR
47,system shall provide integrity service through use of md hash value to prevent unauthorised modification,Integrity,SR
48,product shall be robust with fault tolerancethe product shall have fault tolerance by using recovery technique compensatory transaction and routing around failure,Fault Tolerance,SR
49,information relating to password must be confidential,Confidentiality,SR
50,system shall be reliable and compatible with any hardware and software compatible with android device,Portability,SR
51,system shall verify ssl certificate on given web server to make sure itâ is correctly installed valid trusted and doesnt give any error to any of user,Integrity,SR
52,system shall use symmetric key encryption aes and asymmetric encryption key on browserclient side to secure confidentiality of information,Confidentiality,SR
53,system should allow room for quick error recovery,Survivability,SR
54,system shall offer confidentiality through encryption with aes,Confidentiality,SR
55,system shall secure network by ssl to encrypt sensitive data before it travel within network and decrypt it when it arrives at an agent server,Confidentiality,SR
56,system shall encrypt and decrypt file using wireless connection,Confidentiality,SR
57,safety is subset of requirement which are directly related to ensuring safe operation and sometimes requirement on protection system which are designed to protect against accident,Confidentiality,SR
58,encryption of login credential would be provided,Confidentiality,SR
59,only authorized personnel can access sale information,Confidentiality,SR
60,system will be reliable piece of software by minimizing coding error that result in system crash and runtime error to providing user with full safe application,Reliability,SR
61,system shall allow anomaly to be curbed after detection,Immunity,SR
62,system shall be able to filter harmful website against urlsâ of known harmful website access to known harmful website shall not be permitted,Immunity,SR
63,system must allow scalability so to perform legitimate modification of user data,Maintainability,SR
64,system shall authenticate all user and grant access only to authorized user to prevent unauthorized access to admin console,Authorization,SR
65,only authorized personnel can access customer record in database,Confidentiality,SR
66,system will follow customer privacy policy strictly,Confidentiality,SR
67,system shall encrypt and decrypt file over wireless connection,Confidentiality,SR
68,system adapts to all type of application and provides maturity fault tolerance and recoverability,Survivability,SR
69,make sure all data inside system or it part will be protected against malware attack or unauthorized access,Authorization,SR
70,system shall allow for anomaly to be curbed after detection,IntrusionD,SR
71,system enhances security through use of more secure and efficient enciphering algorithm that is advanced encryption standard with bit key and elliptic curve cryptography,Confidentiality,SR
72,login credential are valid dashboard will display to user,Functionality,SR
73,system encryption and decryption algorithm shall be fast enough to decrypt video and provide it for playback in shortest time after click,Performance,SR
74,system will ensure user validation will be done during login to insure that user is valid and that user only ha access to or permission data,Authentication,SR
75,sound detection should be better and more accurate,Accuracy,SR
76,system is very secure system with log on credential allowing access to only authorised member it ensures that information is kept secured at every moment and only right people have access to record,Authorization,SR
77,system shall automatically send email alert of detected cryptojacking activity,Functionality,SR
78,security constraint for keeping user data confidential,Confidentiality,SR
79,system shall preserve integrity of acquired forensic imago by applying integrity checksum and hash,Integrity,SR
80,each user shall either be trusted or not trusted,Confidentiality,SR
81,system shall authenticate all user,Authentication,SR
82,system shall be detecting intrusion specific to designated area of protection,IntrusionD,SR
83,watermark verification platform is implemented using c and graphical user interface,Functionality,SR
84,system shall allow short time to respond to command to encrypt and decrypt data,Performance,SR
85,product shall provide error tracking servicesthe product shall help system administrator and dba to resolve transaction error of time,Usability,SR
86,system shall ensure that secure and effective interface is established to reduce affiliated risk of error from inaccurate data format,Integrity,SR
87,system shall automatically acquire forensic image of compromised vm main memory upon detection of severe intrusion,Auditing,SR
88,system shall allow user to block internet to computer doing port scanning,Immunity,SR
89,system shall maintain consistent security any change in user password andor permission should take affect in all part of system,Confidentiality,SR
90,system shall guarantee confidentiality through encryption of stored data with aes,Confidentiality,SR
91,system shall have data collection process allowing for benign and malicious data to be collected and submitted into system for malware detection,Functionality,SR
92,system process such encryption and decryption shall not slow down system,Performance,SR
93,system shall be given platform to select unique watermark that will be inserted onto document to protect data by providing ownership to rightful people,Authorization,SR
94,system shall provide report on failure and success of forensic image acquisition,Functionality,SR
95,system shall provide maturity fault tolerance and recoverability despite challenge of balancing development time,Survivability,SR
96,system shall analyse and record suspicious packet signature and detects an anomaly if following packet data match recorded threat related signature,IntrusionD,SR
97,system shall take short time to respond to command to encrypt and decrypt data,Performance,SR
98,secure data transfer over internet could be provided using ssl encryption that will be configured by host system administrator,Confidentiality,SR
99,system shall implement input validation to help in increasing fault tolerance and ultimately reliability,Immunity,SR
100,system shall provide section for verification in sense that if an image is said to have watermark it should be able to detect and display watermark,Immunity,SR
101,system shall enforce encryption on all file communication channel and backup,Confidentiality,SR
102,system shall be reliable routine maintenance shall be done often,Maintainability,SR
103,system shall be capable of malware detection and classify of both known and unknown malware into their respective family,IntrusionD,SR
104,system enforces security administration to manage all right to system feature,Authorization,SR
105,system shall be able to block internet connection to computer doing port scanning,Immunity,SR
106,system shall also provide section for verification in sense that if an image is said to have watermark it should be able to detect and display watermark,Functionality,SR
107,system can be trusted for spam detection even after using it for long time data that wa used for training classifier is so vast,Performance,SR
108,system shall block traffic to and from network that is identified to be potentially malicious,Immunity,SR
109,system of web data mining is reliable hardware and software is compatible,Performance,SR
110,system shall use organization standard virus protection software to help monitor threat to itself,Confidentiality,SR
111,digital watermarking system shall be compatible will all operating system,Portability,SR
112,system shall allow only authorised user to access information and it shall protect usersâ data from intruder,Authorization,SR
113,system shall reveal private information only in compliance with organization information policy,Confidentiality,SR
114,system shall offer authentication authorization configuration management to prevent access to admin console,Authorization,SR
115,system shall have fault tolerance and shall have ability to do safe exit of program if problem is encountered,Survivability,SR
116,system shall be selfprotective and failure proof exception handling will ensure that system is fail safe and gracefully stop under error condition,Immunity,SR
117,system shall allow for safe fail whenever there is fault,Survivability,SR
118,if user credential are invalid error message is displayed on screen,Functionality,SR
119,system database must be located in special secure server and must be backup to other server directly at specific time to avoid loss and damage of data,Survivability,SR
120,to protect realtime database from unauthorised access or cyberattacks it is crucial to incorporate strong security measure and access restriction,Confidentiality,SR
121,system shall show warning to user,Functionality,SR
122,system shall use secure socket layer ssl technology to ensure all payment made online and user logins are secure,Confidentiality,SR
123,system shall be able to apply automatic recording of event and some incident security,Auditing,SR
124,system will use secured database,Confidentiality,SR
125,system will use secured database,Confidentiality,SR
126,system should be able to enforce privacy of data by encryption of data during transmission,Confidentiality,SR
